Date,Close
2022-03-31,0.513
2022-04-01,0.515
2022-04-04,0.564
2022-04-05,0.65
2022-04-06,0.658
2022-04-07,0.673
2022-04-08,0.678
2022-04-11,0.69
2022-04-12,0.747
2022-04-13,0.749
2022-04-14,0.75
2022-04-15,0.767
2022-04-18,0.767
2022-04-19,0.762
2022-04-20,0.82
2022-04-21,0.815
2022-04-22,0.815
2022-04-25,0.81
2022-04-26,0.815
2022-04-27,0.832
2022-04-28,0.815
2022-04-29,0.808
2022-05-02,0.835
2022-05-03,0.798
2022-05-04,0.897
2022-05-05,0.89
2022-05-06,0.838
2022-05-09,0.83
2022-05-10,0.907
2022-05-11,0.895
2022-05-12,0.933
2022-05-13,0.986
2022-05-16,0.955
2022-05-17,1.065
2022-05-18,1.053
2022-05-19,1.02
2022-05-20,1.027
2022-05-23,1.029
2022-05-24,1.065
2022-05-25,1.07
2022-05-26,1.065
2022-05-27,1.057
2022-05-30,1.06
2022-05-31,1.067
2022-06-01,1.139
2022-06-02,1.144
2022-06-03,1.185
2022-06-06,1.21
2022-06-07,1.215
2022-06-08,1.259
2022-06-09,1.269
2022-06-10,1.338
2022-06-13,1.623
2022-06-14,1.787
2022-06-15,1.634
2022-06-16,1.45
2022-06-17,1.608
2022-06-20,1.608
2022-06-21,1.642
2022-06-22,1.562
2022-06-23,1.601
2022-06-24,1.664
2022-06-27,1.669
2022-06-28,1.736
2022-06-29,1.723
2022-06-30,1.672
2022-07-01,1.674
2022-07-04,1.674
2022-07-05,1.685
2022-07-06,1.9
2022-07-07,1.913
2022-07-08,1.917
2022-07-11,2.032
2022-07-12,2.03
2022-07-13,2.369
2022-07-14,2.356
2022-07-15,2.34
2022-07-18,2.327
2022-07-19,2.484
2022-07-20,2.469
2022-07-21,2.438
2022-07-22,2.425
2022-07-25,2.468
2022-07-26,2.507
2022-07-27,2.415
2022-07-28,2.369
2022-07-29,2.371
2022-08-01,2.337
2022-08-02,2.497
2022-08-03,2.487
2022-08-04,2.438
2022-08-05,2.504
2022-08-08,2.535
2022-08-09,2.618
2022-08-10,2.597
2022-08-11,2.548
2022-08-12,2.51
2022-08-15,2.576
2022-08-16,2.646
2022-08-17,2.628
2022-08-18,2.651
2022-08-19,2.666
2022-08-22,2.735
2022-08-23,2.721
2022-08-24,2.777
2022-08-25,2.805
2022-08-26,2.859
2022-08-29,2.884
2022-08-30,2.913
2022-08-31,2.931
2022-09-01,2.936
2022-09-02,2.904
2022-09-05,2.904
2022-09-06,2.94
2022-09-07,3.016
2022-09-08,3.029
2022-09-09,3.043
2022-09-12,3.091
2022-09-13,3.202
2022-09-14,3.207
2022-09-15,3.163
2022-09-16,3.144
2022-09-19,3.156
2022-09-20,3.258
2022-09-21,3.268
2022-09-22,3.214
2022-09-23,3.193
2022-09-26,3.251
2022-09-27,3.292
2022-09-28,3.33
2022-09-29,3.235
2022-09-30,3.267
2022-10-03,3.233
2022-10-04,3.387
2022-10-05,3.377
2022-10-06,3.384
2022-10-07,3.365
2022-10-10,3.365
2022-10-11,3.442
2022-10-12,3.622
2022-10-13,3.712
2022-10-14,3.716
2022-10-17,3.769
2022-10-18,3.901
2022-10-19,3.986
2022-10-20,3.893
2022-10-21,3.994
2022-10-24,4.017
2022-10-25,4.038
2022-10-26,4.025
2022-10-27,4.037
2022-10-28,4.077
2022-10-31,4.079
2022-11-01,4.129
2022-11-02,4.015
2022-11-03,4.138
2022-11-04,4.113
2022-11-07,4.108
2022-11-08,4.16
2022-11-09,4.164
2022-11-10,4.17
2022-11-14,4.172
2022-11-15,4.188
2022-11-16,4.203
2022-11-17,4.226
2022-11-18,4.25
2022-11-21,4.214
2022-11-22,4.248
2022-11-23,4.248
2022-11-25,4.292
2022-11-28,4.304
2022-11-29,4.363
2022-11-30,4.352
2022-12-01,4.326
2022-12-02,4.306
2022-12-05,4.298
2022-12-06,4.314
2022-12-07,4.324
2022-12-08,4.295
2022-12-09,4.303
2022-12-12,4.277
2022-12-13,4.298
2022-12-14,4.334
2022-12-15,4.323
2022-12-16,4.301
2022-12-19,4.267
2022-12-20,4.309
2022-12-21,4.339
2022-12-22,4.334
2022-12-23,4.321
2022-12-27,4.305
2022-12-28,4.456
2022-12-29,4.414
2022-12-30,4.42
